Symbol	Description	Last	Extended_Session_Percent Change	Extended_Session_Net_Change	Volume	Bid	Ask	Vol_Index	Market_Cap
CDNA	CAREDX INC	29.75	+21.01%	6.25	179,991	36.11	36.90	88.05%	1,537 M	
CMPS	COMPASS PATHWAYS ADR ADR	13.31	+9.33%	1.2421	483,624	14.50	14.56	112.74%	1,796 M	
DJT	TRUMP MEDIA & TECHNO	9.57	+1.67%	.16	358,769	9.65	9.74	85.52%	2,650 M	
EQNR	EQUINOR ASA ADR	35.87	-0.86%	-.31	159,172	35.59	35.63	42.30%	85,262 M	
FJTSY	FUJITSU LTD ADR	19.66	0.00%	0	1,658,724	19.30	20.86	N/A	34,106 M	
HTHIY	HITACHI LTD ADR	29.20	-9.38%	-2.74	192,602	29.36	30.66	N/A	130,945 M	
KPELF	KEPPEL LTD A	8.865	0.00%	0	137,000	8.360	9.360	N/A	15,976 M	
MITSF	MITSUI & CO LTD	29.15	0.00%	0	101,500	26.65	31.56	N/A	82,617 M	
MTHRY	M3 INC ADR	5.82	0.00%	0	150,000	5.71	6.17	N/A	7,769 M	
NWWCF	NEW CHINA LIFE INS C H	6.51	0.00%	0	133,900	5.45	6.45	N/A	20,308 M	
NXTC	NEXTCURE INC	6.63	-1.66%	-.11	2,217,226	6.54	6.59	N/A	27 M	
PIAIF	PING AN INS GROUP CO H	6.36	0.00%	0	362,000	6.52	7.52	N/A	115,165 M	
STOSF	SANTOS LTD	5.87	0.00%	0	211,021	4.78	5.78	N/A	19,064 M	
VEEE	TWIN VEE POWERCATS C	26.59	+28.28%	7.52	2,330,504	34.11	34.50	N/A	15 M	
VG	VENTURE GLOBAL INC A	12.91	+1.94%	.25	102,185	13.15	13.21	83.45%	32,073 M	
VOD	VODAFONE GROUP PLC N ADR	15.08	+1.06%	.16	103,636	15.21	15.24	22.04%	34,726 M	
