Symbol  Description 		Last 	%Change	Volume 	Bid 	Ask 	Market Cap 	Vol Index
AAL	AMERICAN AIRLS GROUP	17.20	0.00%	469,522	16.75	16.80	11,376 M	61.33%	
ABCL	ABCELLERA BIOLOGICS	7.69	0.00%	297,553	7.39	7.50	2,348 M	121.31%	
ALM	ALMONTY INDS INC	15.20	0.00%	1,447,410	14.65	14.80	4,313 M	90.49%	
AMPG	AMPLITECH GROUP INC	6.25	0.00%	241,136	6.10	6.24	158 M	156.37%	
APLD	APPLIED DIGITAL CORP	30.71	0.00%	401,751	30.25	30.33	8,776 M	108.68%	
BB	BLACKBERRY LTD	11.10	0.00%	902,180	10.66	10.73	6,506 M	99.53%	
CCXI	CHURCHILL CAP CORP X A	15.86	0.00%	309,715	15.80	15.85	883 M	N/A	
CELH	CELSIUS HLDGS INC	31.70	0.00%	101,106	31.30	31.49	8,104 M	79.71%	
CIFR	CIPHER DIGITAL INC	20.47	0.00%	142,420	20.16	20.40	8,373 M	130.73%	
CLSK	CLEANSPARK INC	12.48	0.00%	185,167	12.14	12.30	3,202 M	102.22%	
ERAS	ERASCA INC	18.36	0.00%	169,553	18.66	18.88	5,710 M	105.56%	
F	FORD MTR CO DEL	13.56	0.00%	171,210	13.45	13.47	54,032 M	45.40%	
FIG	FIGMA INC A	22.19	0.00%	290,835	21.65	21.84	11,725 M	100.90%	
FLNC	FLUENCE ENERGY INC A	16.20	0.00%	228,719	15.77	15.83	2,152 M	139.74%	
FLY	FIREFLY AEROSPACE IN	25.66	0.00%	135,158	25.40	25.60	4,214 M	111.97%	
FRMI	FERMI INC	7.38	0.00%	142,960	7.27	7.28	4,709 M	161.01%	
HIMS	HIMS & HERS HEALTH I A	36.17	0.00%	419,314	35.15	35.26	8,372 M	110.35%	
IBRX	IMMUNITYBIO INC	8.76	0.00%	153,894	8.51	8.54	9,175 M	102.95%	
INFQ	INFLEQTION INC A	11.66	0.00%	571,281	11.36	11.41	2,544 M	120.90%	
IONQ	IONQ INC	45.36	0.00%	1,182,314	44.44	44.56	16,932 M	104.77%	
IREN	IREN LTD	39.815	0.00%	1,436,958	39.37	39.47	14,229 M	131.89%	
JBLU	JETBLUE AWYS CORP EQ Equity	5.72	0.00%	150,955	5.55	5.59	2,128 M	73.51%	
LUNR	INTUITIVE MACHS INC A	17.85	0.00%	362,291	17.88	18.09	2,864 M	114.86%	
NVTS	NAVITAS SEMICONDUCTO	13.99	0.00%	709,998	13.16	13.25	3,407 M	125.35%	
OKLO	OKLO INC A	47.90	0.00%	300,262	47.19	47.29	8,334 M	99.53%	
ONDS	ONDAS INC	7.35	0.00%	2,962,819	7.35	7.36	4,188 M	104.33%	
PDYN	PALLADYNE AI CORP	5.37	0.00%	560,011	5.60	5.62	254 M	115.87%	
PL	PLANET LABS PBC A	28.66	0.00%	238,948	28.05	28.13	10,214 M	99.92%	
POET	POET TECHNOLOGIES IN	8.27	0.00%	419,835	8.07	8.10	1,427 M	125.04%	
QBTS	D-WAVE QUANTUM INC	21.06	0.00%	541,234	20.50	20.63	7,802 M	100.87%	
QS	QUANTUMSCAPE CORP A	6.79	0.00%	414,047	6.65	6.71	4,177 M	104.59%	
QUBT	QUANTUM COMPUTING IN	8.69	0.00%	412,872	8.52	8.53	1,960 M	107.51%	
RCAT	RED CAT HLDGS INC	9.23	0.00%	345,904	9.32	9.45	1,405 M	110.87%	
RDW	REDWIRE CORP	10.21	0.00%	1,124,491	10.16	10.17	2,031 M	106.71%	
RGTI	RIGETTI COMPUTING IN	16.55	0.00%	951,204	16.18	16.19	5,501 M	107.60%	
RIOT	RIOT PLATFORMS INC	21.17	0.00%	173,684	20.81	20.86	8,005 M	97.23%	
RSNHF	RESONA HOLDINGS INC	14.1188	0.00%	1,412,389	13.4000	15.0500	31,666 M	N/A	
RUN	SUNRUN INC	12.20	0.00%	975,803	12.83	12.85	2,910 M	94.71%	
RXT	RACKSPACE TECHNOLOGY	6.76	0.00%	319,499	6.64	6.66	1,685 M	170.35%	
SBSW	SIBANYE STILLWATER L ADR	8.52	0.00%	858,598	8.33	8.35	6,029 M	65.29%	
SLS	SELLAS LIFE SCIENCES	13.50	0.00%	291,381	13.81	13.93	2,655 M	247.08%	
SMR	NUSCALE PWR CORP A	8.96	0.00%	1,222,059	8.75	8.76	3,101 M	107.79%	
SOFI	SOFI TECHNOLOGIES IN	17.75	0.00%	1,659,337	17.41	17.43	22,769 M	72.34%	
TE	T1 ENERGY INC	6.95	0.00%	970,764	6.82	6.83	1,941 M	154.77%	
TNGX	TANGO THERAPEUTICS I	30.12	0.00%	172,715	29.90	32.23	4,904 M	90.26%	
USAR	USA RARE EARTH INC A	17.78	0.00%	325,722	17.45	17.48	4,350 M	94.28%	
UUUU	ENERGY FUELS INC	12.86	0.00%	162,496	12.71	12.75	3,214 M	84.70%	
WULF	TERAWULF INC	20.24	0.00%	976,031	21.00	21.01	10,030 M	113.02%	
